column,n_groups,Group 1,Group 5,Group 6,Group 7,Group 8,Group 9,Group 11,Group 14,Group 16
operating_system,1,,,,x,,,,,
os,1,,,,,,,,,x
os_name,1,,,,,x,,,,
os_name_Windows,1,,,,,x,,,,
os_name_macOS,1,,,,,x,,,,
p_loss_mean,1,,,x,,,,,,
p_loss_mean_step,1,,,x,,,,,,
peak_cpu_usage,1,,,,,x,,,,
peak_ram_mb,1,,,,,,,,,x
peak_ram_usage,1,,,,,x,,,,
plateau_reward,1,x,,,,,,,,
policy_entropy,1,,,,,,,,x,
ram_available_bytes,1,,x,,,,,,,
ram_avg_python,1,,,,,,,x,,
ram_avg_unity,1,,,,,,,x,,
ram_gb,1,,,,,,,,,x
ram_mb,1,,,,,x,,,,
ram_peak_python,1,,,,,,,x,,
ram_peak_unity,1,,,,,,,x,,
ram_total_bytes,1,,x,,,,,,,
ram_total_gb,1,x,,,,,,,,
ram_type,1,,x,,,,,,,
reward_mean,1,,,x,,,,,,
reward_mean_step,1,,,x,,,,,,
runNr,1,,,,,,,x,,
run_log_file,1,,,,,x,,,,
run_reached_threshold,1,,,x,,,,,,
save_replay_buffer,1,,,,,x,,,,
self_play,1,,x,,,,,,,
shared_critic,1,,x,,,,,,,
std_reward,1,,,,,,,,x,
step,1,,,,,,,,x,
step_interval,1,,,x,,,,,,
step_of_best_reward,1,,,x,,,,,,
steps_per_update,1,,,,,x,,,,
steps_to_convergence,1,,,,,x,,,,
threaded,1,,x,,,,,,,
threshold_value,1,,,x,,,,,,
threshold_version,1,,,x,,,,,,
timeUnit,1,,,,,,,x,,
time_elapased_seconds,1,,,,x,,,,,
time_elapsed,1,,,,,,,,x,
time_end,1,,x,,,,,,,
time_start,1,,x,,,,,,,
time_to_convergence,1,,,,,x,,,,
time_to_threshold,1,,,x,,,,,,
total_duration,1,,x,,,,,,,
total_ram,1,,,,x,,,,,
total_ram_mb,1,,,,,,,x,,
total_time,1,,,x,,,,,,
train_duration_s,1,,,,,x,,,,
training_duration_seconds,1,,,,,,,,,x
training_time,1,,,,,,x,,,
v_loss_mean,1,,,x,,,,,,
v_loss_mean_step,1,,,x,,,,,,
wallclock_seconds_total,1,x,,,,,,,,
